roi_id,roi_label,line_y_mm,peak_id,peak_x_mm,method_id,method_label,peak_raw,das_peak_raw,peak_retention_vs_DAS_raw,peak_display_norm,das_peak_display_norm,peak_retention_vs_DAS_display_norm,CNR_raw,CNR_display_norm,background_fluctuation_raw,background_fluctuation_display_norm
liver,Liver,3.3,2,-1.3,PAC_CF,PAC-CF,4.13780212402344,63.2745933532715,0.0653943692837577,0.539146805055193,0.795025648699224,0.678150202999507,13.265745467216,13.265745467216,0.190354701531791,0.0254186184060581
liver,Liver,3.3,3,0.15,PAC_CF,PAC-CF,6.13290023803711,60.6677207946777,0.101090005652151,0.805558074305037,0.756590437434668,1.06472145886009,20.5598549162699,20.5598549162699,0.190354701531791,0.0254186184060581
liver,Liver,3.3,4,1.3,PAC_CF,PAC-CF,2.11963510513306,46.1922569274902,0.0458872383841372,0.269655077663848,0.543167073084275,0.496449602757878,6.03681436539169,6.03681436539169,0.190354701531791,0.0254186184060581
liver,Liver,3.3,5,2.9,PAC_CF,PAC-CF,3.35561966896057,44.1177597045898,0.0760605182908112,0.434699700837827,0.512581098036487,0.848060341091398,10.904065678015,10.904065678015,0.190354701531791,0.0254186184060581
liver,Liver,3.3,6,5.75,PAC_CF,PAC-CF,2.25843977928162,51.4383354187012,0.043905771073232,0.288190070583738,0.620514212458401,0.464437501668115,8.01428393139367,8.01428393139367,0.190354701531791,0.0254186184060581
mesenteric_artery,Mesenteric artery,-7.6,1,-6.1,DAS,DAS,47.5399856567383,47.5399856567383,1,0.387722900266319,0.387722900266319,1,4.01682911230967,4.01682911230967,4.84022910118943,0.0510429046886829
mesenteric_artery,Mesenteric artery,-7.6,2,-3.9,DAS,DAS,60.5542526245117,60.5542526245117,1,0.524965575053323,0.524965575053323,1,5.36187056786913,5.36187056786913,4.84022910118943,0.0510429046886829
mesenteric_artery,Mesenteric artery,-7.6,3,-2.56666666666667,DAS,DAS,30.5497436523438,30.5497436523438,1,0.208551360007025,0.208551360007025,1,0.765168734621799,0.765168734621799,4.84022910118943,0.0510429046886829
mesenteric_artery,Mesenteric artery,-7.6,4,-0.633333333333333,DAS,DAS,35.9783096313477,35.9783096313477,1,0.26579860390183,0.26579860390183,1,1.33746060591397,1.33746060591397,4.84022910118943,0.0510429046886829
mesenteric_artery,Mesenteric artery,-7.6,5,-0.0666666666666669,DAS,DAS,44.3764533996582,44.3764533996582,1,0.354361695227898,0.354361695227898,1,3.42029338654629,3.42029338654629,4.84022910118943,0.0510429046886829
mesenteric_artery,Mesenteric artery,-7.6,1,-6.1,CF,CF,1.44068288803101,47.5399856567383,0.0303046555048088,0.152102856107974,0.387722900266319,0.392297839522757,3.6576880045769,3.6576880045769,0.227677965463933,0.0258864648765984
mesenteric_artery,Mesenteric artery,-7.6,2,-3.9,CF,CF,2.06037163734436,60.5542526245117,0.0340252178508491,0.222560052134107,0.524965575053323,0.423951707902942,3.99393058626942,3.99393058626942,0.227677965463933,0.0258864648765984
mesenteric_artery,Mesenteric artery,-7.6,3,-2.56666666666667,CF,CF,0.511135697364807,30.5497436523438,0.0167312597834383,0.0464154627175364,0.208551360007025,0.222561304399898,-0.2891244614689,-0.2891244614689,0.227677965463933,0.0258864648765984
mesenteric_artery,Mesenteric artery,-7.6,4,-0.633333333333333,CF,CF,1.08756768703461,35.9783096313477,0.0302284264652338,0.111954463928871,0.26579860390183,0.421200345996627,1.79989403085037,1.79989403085037,0.227677965463933,0.0258864648765984
mesenteric_artery,Mesenteric artery,-7.6,5,-0.0666666666666669,CF,CF,1.09810507297516,44.3764533996582,0.0247452193415623,0.113152540653096,0.354361695227898,0.319313690438029,2.1122290931697,2.1122290931697,0.227677965463933,0.0258864648765984
mesenteric_artery,Mesenteric artery,-7.6,1,-6.1,PAC_CF,PAC-CF,3.19322204589844,47.5399856567383,0.0671691840413047,0.289168382739652,0.387722900266319,0.745811976906776,14.629286855347,14.629286855347,0.15644098893147,0.0147259968185004
mesenteric_artery,Mesenteric artery,-7.6,2,-3.9,PAC_CF,PAC-CF,3.27402997016907,60.5542526245117,0.0540677133028271,0.296774939332312,0.524965575053323,0.565322667685719,12.0393287133031,12.0393287133031,0.15644098893147,0.0147259968185004
mesenteric_artery,Mesenteric artery,-7.6,3,-2.56666666666667,PAC_CF,PAC-CF,1.92155051231384,30.5497436523438,0.0628990715660694,0.169464262447063,0.208551360007025,0.812578074011861,6.77211115907898,6.77211115907898,0.15644098893147,0.0147259968185004
mesenteric_artery,Mesenteric artery,-7.6,4,-0.633333333333333,PAC_CF,PAC-CF,1.68730473518372,35.9783096313477,0.0468978324015973,0.14741439819904,0.26579860390183,0.554609377306909,5.72248574026144,5.72248574026144,0.15644098893147,0.0147259968185004
mesenteric_artery,Mesenteric artery,-7.6,5,-0.0666666666666669,PAC_CF,PAC-CF,2.4962375164032,44.3764533996582,0.056251397422905,0.223560308832711,0.354361695227898,0.630881700373777,9.85807374667536,9.85807374667535,0.15644098893147,0.0147259968185004
