vertical_wire_distance_mm,vertical_wire_profile,horizontal_wire_distance_mm,horizontal_wire_profile
-9.76666666666667,0.112045580175138,-9.03333333333333,0.146671894063466
-9.73333333333334,0.104576132813931,-9.00000000000003,0.129225306082665
-9.7,0.118177784619723,-8.96666666666663,0.103441069586334
-9.66666666666667,0.125600371641792,-8.93333333333333,0.110284477932892
-9.63333333333334,0.125082564894314,-8.90000000000003,0.107284448788784
-9.6,0.122296627035114,-8.86666666666663,0.0857990286426114
-9.56666666666667,0.130129121094735,-8.83333333333333,0.0719776018462611
-9.53333333333334,0.132190522529665,-8.80000000000003,0.0783413265986662
-9.5,0.12027969757365,-8.76666666666663,0.075577080541616
-9.46666666666667,0.114674037062356,-8.73333333333333,0.0723037951553786
-9.43333333333334,0.131916283732037,-8.70000000000003,0.0693682821168974
-9.4,0.134721132005515,-8.66666666666663,0.0671298090649784
-9.36666666666667,0.14307763047037,-8.63333333333333,0.0686640921495569
-9.33333333333334,0.132286223435176,-8.60000000000003,0.0708058817404668
-9.3,0.119162834297125,-8.56666666666663,0.0739068268923444
-9.26666666666667,0.116170862108101,-8.53333333333333,0.0730232676397735
-9.23333333333334,0.113004826433536,-8.50000000000003,0.0894888117463573
-9.2,0.0995700881325073,-8.46666666666663,0.077569249604529
-9.16666666666667,0.10610251010581,-8.43333333333333,0.0984020261564134
-9.13333333333334,0.101919060887362,-8.40000000000003,0.086276459917238
-9.1,0.100264875799543,-8.36666666666663,0.0826362127268328
-9.06666666666667,0.100453178781687,-8.33333333333333,0.0784477449172253
-9.03333333333334,0.0964879324650002,-8.3,0.0773682489821027
-9,0.092362574950845,-8.26666666666666,0.0763760190914464
-8.96666666666667,0.11606513913651,-8.23333333333333,0.0730840349182689
-8.93333333333334,0.107339109106953,-8.2,0.0741883214844195
-8.9,0.119356110521712,-8.16666666666666,0.0760363269814093
-8.86666666666667,0.112019383733936,-8.13333333333333,0.0675872869048752
-8.83333333333334,0.140533582658555,-8.1,0.0729192376868866
-8.8,0.136571102613501,-8.06666666666666,0.0624275100786008
-8.76666666666667,0.138378611707732,-8.03333333333333,0.0656988303538421
-8.73333333333334,0.121979488352817,-8,0.0708807827018958
-8.7,0.130702510250926,-7.96666666666666,0.0724455098906757
-8.66666666666667,0.121549023230998,-7.93333333333333,0.0672846144627574
-8.63333333333334,0.126346040567389,-7.9,0.0685015774701778
-8.6,0.106931378807735,-7.86666666666666,0.0663939505781236
-8.56666666666667,0.123779288165449,-7.83333333333333,0.063948475757121
-8.53333333333334,0.118875519953253,-7.8,0.0698961260466937
-8.5,0.132398688249108,-7.76666666666666,0.0467461964218533
-8.46666666666667,0.121422711942663,-7.73333333333333,0.0428724260220361
-8.43333333333334,0.116413205642638,-7.7,0.0610160464312798
-8.4,0.102390657293954,-7.66666666666666,0.0583518774307667
-8.36666666666667,0.101475051615908,-7.63333333333333,0.0437520172620187
-8.33333333333334,0.100805855740537,-7.6,0.0451563762772768
-8.3,0.0801119974198395,-7.56666666666666,0.0657755603801214
-8.26666666666667,0.0827441729017119,-7.53333333333333,0.0665996976994173
-8.23333333333334,0.0814102404413071,-7.5,0.0799080793633959
-8.2,0.0760312479252963,-7.46666666666666,0.094084631949222
-8.16666666666667,0.0842100096586717,-7.43333333333333,0.0871976888359807
-8.13333333333334,0.105660511294067,-7.4,0.11187862132166
-8.1,0.108440024751933,-7.36666666666666,0.119455726532977
-8.06666666666667,0.0936188099457109,-7.33333333333333,0.110134978334802
-8.03333333333334,0.0874896136325736,-7.3,0.105730635524152
-8,0.0990865196650774,-7.26666666666666,0.115676137856708
-7.96666666666667,0.105757149406361,-7.23333333333333,0.109790312982321
-7.93333333333334,0.109435580215045,-7.2,0.111347194843355
-7.9,0.113789646416671,-7.16666666666666,0.11291910224539
-7.86666666666667,0.125161758867458,-7.13333333333333,0.098422251683435
-7.83333333333334,0.112444769799642,-7.1,0.0954491596762126
-7.8,0.120737387040885,-7.06666666666666,0.078974621407762
-7.76666666666667,0.113869490388068,-7.03333333333333,0.0883493496933762
-7.73333333333334,0.103086004261812,-7,0.0725324584941348
-7.7,0.101970864236467,-6.96666666666666,0.076041496734953
-7.66666666666667,0.122210177267523,-6.93333333333333,0.0935830751580584
-7.63333333333334,0.138267991074889,-6.9,0.0870508648120937
-7.6,0.135141575061254,-6.86666666666666,0.0929835349093806
-7.56666666666667,0.126232064129614,-6.83333333333333,0.102308183097071
-7.53333333333334,0.124807298192473,-6.8,0.0925382709901366
-7.5,0.120792969449598,-6.76666666666666,0.0820604200887311
-7.46666666666667,0.100941660026607,-6.73333333333333,0.0852208174063606
-7.43333333333334,0.103908221818827,-6.7,0.104315211422362
-7.4,0.110016361211829,-6.66666666666666,0.0782044490596672
-7.36666666666667,0.111749483296738,-6.63333333333333,0.0696257721223428
-7.33333333333334,0.119149441309874,-6.6,0.0714001010732166
-7.3,0.14603648298099,-6.56666666666666,0.0911682711848337
-7.26666666666667,0.143701084608247,-6.53333333333333,0.083309369056673
-7.23333333333334,0.148945089115063,-6.5,0.0814121602035879
-7.2,0.160976012585417,-6.46666666666666,0.0735182186347425
-7.16666666666667,0.149435792447032,-6.43333333333333,0.07491352302318
-7.13333333333334,0.137187527700507,-6.4,0.0676263623812211
-7.1,0.126248314085928,-6.36666666666666,0.0666902893163385
-7.06666666666667,0.128644842526888,-6.33333333333333,0.0578519909839498
-7.03333333333334,0.133198518657006,-6.3,0.0569630503504972
-7,0.135657703906266,-6.26666666666666,0.0560790754013694
-6.96666666666667,0.114781271657791,-6.23333333333333,0.0544601716140503
-6.93333333333334,0.100994718023502,-6.2,0.0717658989270252
-6.9,0.0865069976695598,-6.16666666666666,0.079299257744321
-6.86666666666667,0.0717239513653773,-6.13333333333333,0.0815931318100922
-6.83333333333334,0.0534108552489566,-6.1,0.104907238900539
-6.8,0.0545181650627935,-6.06666666666666,0.0975434086972548
-6.76666666666667,0.0447459855200947,-6.03333333333333,0.0927161437677623
-6.73333333333334,0.0553941057311948,-6,0.0909360252975692
-6.7,0.0589824286425872,-5.96666666666666,0.0992941411999367
-6.66666666666667,0.0564099018375662,-5.93333333333333,0.0929728779612862
-6.63333333333334,0.0615802297982659,-5.9,0.1008401393693
-6.6,0.0541209858980007,-5.86666666666666,0.093998318227777
-6.56666666666667,0.0527939766747976,-5.83333333333333,0.0884046751260362
-6.53333333333334,0.0489811549483369,-5.8,0.0829872117832167
-6.5,0.0527033170348035,-5.76666666666666,0.0935705286801601
-6.46666666666667,0.0603861376595927,-5.73333333333333,0.0824710073570128
-6.43333333333334,0.0446497479881194,-5.7,0.0670504034644967
-6.4,0.0525259204186884,-5.66666666666666,0.0838471443551189
-6.36666666666667,0.0470545450115022,-5.63333333333333,0.0883770577584215
-6.33333333333334,0.049024893784239,-5.6,0.0744296824634583
-6.3,0.0481082526438603,-5.56666666666666,0.0921400034561768
-6.26666666666667,0.0679380894501595,-5.53333333333333,0.0872621595928919
-6.23333333333334,0.0621859677047008,-5.5,0.099417338543155
-6.2,0.0728868133554506,-5.46666666666666,0.109747186354076
-6.16666666666667,0.072826983283738,-5.43333333333333,0.101558538600766
-6.13333333333334,0.0701498823412465,-5.4,0.0980927176856241
-6.1,0.0573506760526011,-5.36666666666666,0.0985669292014647
-6.06666666666667,0.0582857212132704,-5.33333333333333,0.0940895296104739
-6.03333333333334,0.0661060164684766,-5.3,0.108542830289507
-6,0.0650693448368311,-5.26666666666666,0.0945474609375236
-5.96666666666667,0.0594413122926581,-5.23333333333333,0.0978750740846846
-5.93333333333334,0.0630342154242953,-5.2,0.11448277129748
-5.9,0.0694431830783264,-5.16666666666666,0.0880884283018067
-5.86666666666667,0.0848217789442408,-5.13333333333333,0.0803915269009184
-5.83333333333334,0.0849881633806584,-5.1,0.0886111780592515
-5.8,0.091715055761385,-5.06666666666666,0.0838304560278903
-5.76666666666667,0.0801979030028468,-5.03333333333333,0.093155723981356
-5.73333333333334,0.0812755245244038,-5,0.0864791233258917
-5.7,0.0862242635459333,-4.96666666666666,0.0929248234393119
-5.66666666666667,0.0799156525988502,-4.93333333333333,0.106755259513767
-5.63333333333334,0.0725804525511555,-4.9,0.101190427962477
-5.6,0.09574306470004,-4.86666666666666,0.0929205606600741
-5.56666666666667,0.0766533567179526,-4.83333333333333,0.101977243289085
-5.53333333333334,0.0943496196089296,-4.8,0.104435173890556
