vertical_wire_distance_mm,vertical_wire_profile,horizontal_wire_distance_mm,horizontal_wire_profile
-9.76666666666667,0.0340780717758488,-9.03333333333333,0.0518203594979185
-9.73333333333334,0.0381441079699073,-9.00000000000003,0.048595731143537
-9.7,0.0455355128089946,-8.96666666666663,0.068574778520456
-9.66666666666667,0.054105984606397,-8.93333333333333,0.0594314398708546
-9.63333333333334,0.0491058137500337,-8.90000000000003,0.0682266480080984
-9.6,0.056471832628301,-8.86666666666663,0.07017734607689
-9.56666666666667,0.0598408168497587,-8.83333333333333,0.0627686223151777
-9.53333333333334,0.0539218355524743,-8.80000000000003,0.0419911492864646
-9.5,0.0636498580047559,-8.76666666666663,0.0521662967842668
-9.46666666666667,0.058682919564332,-8.73333333333333,0.0335533802673707
-9.43333333333334,0.0444670808678631,-8.70000000000003,0.0273928762581884
-9.4,0.03708200361186,-8.66666666666663,0.0255481399965633
-9.36666666666667,0.0459785444628686,-8.63333333333333,0.0355919617846864
-9.33333333333334,0.0493639558210883,-8.60000000000003,0.030306504534217
-9.3,0.0459772367203487,-8.56666666666663,0.0482024787874626
-9.26666666666667,0.034465072177322,-8.53333333333333,0.0363424200710879
-9.23333333333334,0.035040261454189,-8.50000000000003,0.0414435265916798
-9.2,0.0313840118933179,-8.46666666666663,0.0491098315131972
-9.16666666666667,0.0481945504014865,-8.43333333333333,0.0482314917642836
-9.13333333333334,0.0304592173486733,-8.40000000000003,0.0598708161480465
-9.1,0.0280808748711273,-8.36666666666663,0.0458648811551752
-9.06666666666667,0.0291210154572139,-8.33333333333333,0.0556721307458551
-9.03333333333334,0.024382200882436,-8.3,0.0378731311150369
-9,0.0292209742535361,-8.26666666666666,0.0344955031882007
-8.96666666666667,0.0375630889974697,-8.23333333333333,0.0251580136177895
-8.93333333333334,0.0454439109600525,-8.2,0.0240824190290731
-8.9,0.0536199518575192,-8.16666666666666,0.0255906400528667
-8.86666666666667,0.0480515400911718,-8.13333333333333,0.0232660363393282
-8.83333333333334,0.0426550318668619,-8.1,0.0334751394504392
-8.8,0.0411654280546529,-8.06666666666666,0.0302626904330201
-8.76666666666667,0.041391352391916,-8.03333333333333,0.0351416571916897
-8.73333333333334,0.0383523163350092,-8,0.0324926561291396
-8.7,0.0336647211503963,-7.96666666666666,0.0367118746644869
-8.66666666666667,0.028224130974012,-7.93333333333333,0.0278653462991007
-8.63333333333334,0.0289298298031781,-7.9,0.0250903198230607
-8.6,0.0298698162193612,-7.86666666666666,0.0228599192631635
-8.56666666666667,0.0369913880843847,-7.83333333333333,0.030753408996662
-8.53333333333334,0.0309209733544828,-7.8,0.0337238153563618
-8.5,0.0377586358940296,-7.76666666666666,0.0230921507007967
-8.46666666666667,0.0265092267595253,-7.73333333333333,0.0156295904882862
-8.43333333333334,0.0290364439060113,-7.7,0.0143332521133975
-8.4,0.0248515607019817,-7.66666666666666,0.0143436226691397
-8.36666666666667,0.0285456308067656,-7.63333333333333,0.0150255505207182
-8.33333333333334,0.024302614508743,-7.6,0.0165476273128491
-8.3,0.0205493792962908,-7.56666666666666,0.0161714228773353
-8.26666666666667,0.024322454380804,-7.53333333333333,0.0181799326190669
-8.23333333333334,0.0252245792876458,-7.5,0.0148925767403454
-8.2,0.0290470634055103,-7.46666666666666,0.0222657850512853
-8.16666666666667,0.0318012699903961,-7.43333333333333,0.0234597823326348
-8.13333333333334,0.0475683623175303,-7.4,0.0368746586719398
-8.1,0.0506396413177229,-7.36666666666666,0.0438904357426969
-8.06666666666667,0.0409471674036751,-7.33333333333333,0.0409018186745091
-8.03333333333334,0.0285360921643374,-7.3,0.0563971242917666
-8,0.0372048179660059,-7.26666666666666,0.0585770838046372
-7.96666666666667,0.0390128901692718,-7.23333333333333,0.0401009729112566
-7.93333333333334,0.0439507431555784,-7.2,0.0405212908107127
-7.9,0.0396602636820505,-7.16666666666666,0.0491469146794001
-7.86666666666667,0.0303590474228358,-7.13333333333333,0.0399744748197474
-7.83333333333334,0.0391372675120681,-7.1,0.0383622205151057
-7.8,0.0365907524976498,-7.06666666666666,0.0307534310549695
-7.76666666666667,0.0394664341822938,-7.03333333333333,0.0298109741083393
-7.73333333333334,0.029904517088347,-7,0.0204153577463086
-7.7,0.0277378335254435,-6.96666666666666,0.0331265394112491
-7.66666666666667,0.033331108155603,-6.93333333333333,0.0380940860307244
-7.63333333333334,0.0346273992626897,-6.9,0.0415350685680728
-7.6,0.0381094197056686,-6.86666666666666,0.0427522081652443
-7.56666666666667,0.021927791906847,-6.83333333333333,0.045436757766028
-7.53333333333334,0.0380060418716738,-6.8,0.0399296617923365
-7.5,0.0388056649744499,-6.76666666666666,0.0461862801499514
-7.46666666666667,0.0345319309075502,-6.73333333333333,0.0375750414489829
-7.43333333333334,0.0255430161668347,-6.7,0.0328473190517232
-7.4,0.0329098701096027,-6.66666666666666,0.036161040910358
-7.36666666666667,0.0376740107726515,-6.63333333333333,0.0351653982330028
-7.33333333333334,0.0418039057671094,-6.6,0.0309398143003298
-7.3,0.0527956392062048,-6.56666666666666,0.0371034127749448
-7.26666666666667,0.0445457817580667,-6.53333333333333,0.0320354535882488
-7.23333333333334,0.0520161868501031,-6.5,0.0252588673511615
-7.2,0.050389771112005,-6.46666666666666,0.028853842084805
-7.16666666666667,0.0589880552840595,-6.43333333333333,0.0302313518803445
-7.13333333333334,0.0556723891431723,-6.4,0.0340757430488073
-7.1,0.053068739960975,-6.36666666666666,0.0268277455695709
-7.06666666666667,0.0388531691153836,-6.33333333333333,0.0230037819695062
-7.03333333333334,0.0411981468271447,-6.3,0.0196516959872364
-7,0.0423313955294614,-6.26666666666666,0.0201213079017257
-6.96666666666667,0.0374369375365079,-6.23333333333333,0.0249930395355141
-6.93333333333334,0.0277884888531721,-6.2,0.0193608855626787
