vertical_wire_distance_mm,vertical_wire_profile,horizontal_wire_distance_mm,horizontal_wire_profile
-9.76666666666667,0.0311473333462708,-9.03333333333333,0.0145626166338855
-9.73333333333334,0.0243450279984592,-9.00000000000003,0.0172773669046413
-9.7,0.0260636459583016,-8.96666666666663,0.0108350999812203
-9.66666666666667,0.0252882444842485,-8.93333333333333,0.011527685164894
-9.63333333333334,0.0218808707211901,-8.90000000000003,0.0161311355815359
-9.6,0.0233749629681803,-8.86666666666663,0.0198056505048788
-9.56666666666667,0.0279056153813222,-8.83333333333333,0.0292477013107505
-9.53333333333334,0.0311063640090116,-8.80000000000003,0.0316565478931582
-9.5,0.0369185491789049,-8.76666666666663,0.0182932699506466
-9.46666666666667,0.0203998219818913,-8.73333333333333,0.00742056482630114
-9.43333333333334,0.022579682798354,-8.70000000000003,0.00946311939087451
-9.4,0.0237899638271701,-8.66666666666663,0.010867659994012
-9.36666666666667,0.0273015254520388,-8.63333333333333,0.0131245432109568
-9.33333333333334,0.0328151076295497,-8.60000000000003,0.0102285304388692
-9.3,0.0335554741212135,-8.56666666666663,0.0107149850167465
-9.26666666666667,0.0338195413042493,-8.53333333333333,0.011900344541191
-9.23333333333334,0.0349316756259386,-8.50000000000003,0.0134110058505948
-9.2,0.0256527963616387,-8.46666666666663,0.0158790044385573
-9.16666666666667,0.0283590827471526,-8.43333333333333,0.0196000213938601
-9.13333333333334,0.0250243467878737,-8.40000000000003,0.0204496348080783
-9.1,0.0110625290237926,-8.36666666666663,0.019397517338262
-9.06666666666667,0.0185426382288775,-8.33333333333333,0.01537537482541
-9.03333333333334,0.0195985865615793,-8.3,0.0122279367178088
-9,0.0246898822754127,-8.26666666666666,0.0104382968818043
-8.96666666666667,0.0250798896562434,-8.23333333333333,0.00978408417470043
-8.93333333333334,0.0295538847681761,-8.2,0.00513943514945995
-8.9,0.0261111788406379,-8.16666666666666,0.00514849978365434
-8.86666666666667,0.0239587470024354,-8.13333333333333,0.00552636623130678
-8.83333333333334,0.0191484253465059,-8.1,0.00846307147374501
-8.8,0.0220780301426292,-8.06666666666666,0.0103692473195943
-8.76666666666667,0.0207004727446161,-8.03333333333333,0.00575838650500399
-8.73333333333334,0.0115869764745538,-8,0.00484868484555905
-8.7,0.0137904075455703,-7.96666666666666,0.0114201423958899
-8.66666666666667,0.016889771806561,-7.93333333333333,0.0137595888340901
-8.63333333333334,0.0230183049900693,-7.9,0.016818248435621
-8.6,0.0219054695043852,-7.86666666666666,0.0170816864284495
-8.56666666666667,0.0240174567174571,-7.83333333333333,0.0142533348209928
-8.53333333333334,0.0266980414956119,-7.8,0.0160622984580859
-8.5,0.0254177508671295,-7.76666666666666,0.0168727859927001
-8.46666666666667,0.026324167851867,-7.73333333333333,0.0144906207898563
-8.43333333333334,0.0267041940935796,-7.7,0.0176968417471343
-8.4,0.0103062783815644,-7.66666666666666,0.0172993769532199
-8.36666666666667,0.0114160573030129,-7.63333333333333,0.014091450681524
-8.33333333333334,0.0213117693395944,-7.6,0.0122642858022546
-8.3,0.0197417261728626,-7.56666666666666,0.0153523049047665
-8.26666666666667,0.0326958563505264,-7.53333333333333,0.0226032368007622
-8.23333333333334,0.0333424781447792,-7.5,0.0242241306092628
-8.2,0.0362513800291752,-7.46666666666666,0.0238711943724884
-8.16666666666667,0.0284746796151566,-7.43333333333333,0.0181073616574155
-8.13333333333334,0.0198489810467165,-7.4,0.0238236127337153
-8.1,0.0211253897341416,-7.36666666666666,0.0303551805536002
-8.06666666666667,0.0171883864076188,-7.33333333333333,0.0361553995008801
-8.03333333333334,0.0175390334136022,-7.3,0.026417743062617
-8,0.0217214394948356,-7.26666666666666,0.0253235371792319
-7.96666666666667,0.030525533221781,-7.23333333333333,0.0325859663073543
-7.93333333333334,0.0269601444907682,-7.2,0.0317119282400721
-7.9,0.0297697713047876,-7.16666666666666,0.018290706755116
-7.86666666666667,0.0289546170826583,-7.13333333333333,0.016638365044928
-7.83333333333334,0.0307194445358402,-7.1,0.014212827509015
-7.8,0.0297177272911867,-7.06666666666666,0.0144748062913444
-7.76666666666667,0.0195285676749726,-7.03333333333333,0.0219135259251202
