12.23	-14.78	98.14
16.58	11.42	97.95
-4.62	-20.07	97.86
-10.37	18.31	97.76
20.42	-6.64	97.67
-19.94	-9.08	97.57
8.74	20.54	97.48
7.57	-21.44	97.38
-20.42	10.89	97.29
22.8	5.85	97.19
-13.07	-20.04	97.1
-3.95	23.99	97
19.41	-15.25	96.9
17.4	18.53	96.71
-0.32	-25.78	96.62
-17.41	19.5	96.52
26.35	-2.66	96.43
-21.51	-16.04	96.33
5.09	26.69	96.24
14.45	-23.41	96.14
25.17	12.63	95.95
-10.15	-26.61	95.86
-10.6	26.78	95.76
26.19	-12.73	95.67
15.3	25.5	95.48
6	-29.44	95.38
-24.55	17.83	95.29
30.44	3.46	95.19
-20.31	-23.33	95.1
-0.78	31.22	95
21.86	-22.7	94.9
24.97	20.14	94.71
-4.86	-31.99	94.62
-18.18	27.11	94.52
31.98	-7.78	94.43
-29.08	-15.99	94.33
10.74	31.68	94.24
13.59	-30.86	94.14
-31.11	13.69	94.05
32.44	10.99	93.95
-16.62	-30.24	93.86
-8.22	33.78	93.76
29.09	-19.5	93.67
22.3	27.66	93.48
2.25	-35.71	93.38
-25.95	24.99	93.29
36.26	-0.91	93.19
-27.54	-23.97	93.1
4.15	36.52	93
21.75	-29.93	92.9
32.13	19.28	92.71
-10.75	-36.14	92.62
-16.58	34.12	92.52
35.49	-14.05	92.43
-35.88	-13.69	92.33
17.32	34.53	92.24
10.61	-37.38	92.14
-33.26	20.52	92.05
38.61	7.36	91.95
-23.63	-31.68	91.86
-3.99	39.55	91.76
29.81	-26.62	91.67
-40.18	-0.5	91.57
29.45	27.66	91.48
-3.06	-40.5	91.38
-25.23	32.1	91.29
40.49	-6.67	91.19
-34.55	-22.54	91.1
10.31	40.16	91
19.61	-36.76	90.9
-39.49	13.94	90.81
38.73	16.47	90.71
-17.52	-38.49	90.62
-13.13	40.41	90.52
37.15	-21.04	90.43
-41.8	-9.62	90.33
24.45	35.49	90.24
5.97	-42.88	90.14
-33.51	27.72	90.05
43.63	2.2	89.95
-30.83	-31.22	89.86
1.66	44.05	89.76
28.65	-33.75	89.67
-44.11	5.57	89.57
36.45	25.79	89.48
-9.51	-43.83	89.38
-22.68	38.91	89.29
43.18	-13.43	89.19
-41.09	-19.33	89.1
17.32	42.18	89
15.78	-42.98	88.9
-40.82	21.13	88.81
44.55	12.04	88.71
-24.83	-39.12	88.62
-8.14	45.8	88.52
37.08	-28.39	88.43
-46.69	-4.12	88.33
31.78	34.7	88.24
0	-47.23	88.14
-32.02	34.96	88.05
47.4	-4.18	87.95
-37.92	-29.04	87.86
8.39	47.2	87.76
25.78	-40.62	87.67
-46.61	12.59	87.57
43.03	22.27	87.48
-16.76	-45.65	87.38
-18.53	45.14	87.29
44.31	-20.85	87.19
-46.92	-14.6	87.1
24.83	42.6	87
10.49	-48.35	86.9
-40.52	28.67	86.81
49.41	6.24	86.71
-32.33	-38.1	86.62
-1.89	50.1	86.52
35.34	-35.79	86.43
-50.4	2.54	86.33
39.01	32.27	86.24
-7	-50.3	86.14
-28.9	41.96	86.05
49.81	-11.46	85.95
-44.61	-25.26	85.86
15.89	48.91	85.76
21.38	-46.95	85.67
-47.62	20.25	85.57
48.94	17.27	85.48
-24.5	-45.93	85.38
-12.99	50.57	85.29
43.86	-28.61	85.19
-51.82	-8.54	85.1
32.55	41.42	85
3.98	-52.68	84.9
-38.62	36.27	84.81
53.13	-0.67	84.71
-39.75	-35.49	84.62
5.36	53.17	84.52
32.04	-42.96	84.43
-52.79	10.07	84.33
45.86	28.3	84.24
-14.75	-51.98	84.14
-24.3	48.43	84.05
50.76	-19.36	83.95
-50.65	-20.06	83.86
23.88	49.13	83.76
15.61	-52.5	83.67
-47.09	28.25	83.57
53.95	11	83.48
-32.45	-44.66	83.38
-6.25	55	83.29
41.85	-36.44	83.19
-55.62	-1.4	83.1
40.18	38.69	83
-3.51	-55.81	82.9
-35.19	43.64	82.81
55.56	-8.44	82.71
-46.8	-31.37	82.62
13.36	54.88	82.52
27.28	-49.61	82.43
-53.75	18.22	82.33
52.07	22.92	82.24
-22.98	-52.2	82.14
-18.35	54.14	82.05
50.22	-27.61	81.95
-55.81	-13.58	81.86
32.06	47.82	81.76
8.67	-57.06	81.67
-45.03	36.31	81.57
57.87	3.64	81.48
-40.31	-41.86	81.38
1.46	58.23	81.29
38.33	-44.03	81.19
-58.14	6.6	81.1
47.44	34.47	81
-11.74	-57.59	80.9
-30.3	50.51	80.81
56.59	-16.83	80.71
-53.21	-25.86	80.62
21.83	55.13	80.52
21.18	-55.52	80.43
-53.23	26.7	80.33
57.41	16.29	80.24
-31.41	-50.9	80.14
-11.23	58.87	80.05
48.14	-35.91	79.95
-59.89	-6.04	79.86
40.17	44.99	79.76
0.76	-60.44	79.67
-41.46	44.15	79.57
60.52	-4.57	79.48
-47.82	-37.58	79.38
9.91	60.13	79.29
33.37	-51.14	79.19
-59.27	15.22	79.1
54.09	28.86	79
-20.45	-57.93	78.9
-24.09	56.65	78.81
56.13	-25.56	78.71
-58.77	-19.1	78.62
30.51	53.88	78.52
13.91	-60.46	78.43
-51.19	35.26	78.33
61.69	8.58	78.24
-39.77	-48.08	78.14
-3.14	62.44	78.05
44.57	-44.01	77.95
-62.71	2.37	77.86
47.94	40.68	77.76
-7.89	-62.49	77.67
-36.45	51.52	77.57
61.79	-13.4	77.48
-54.72	-31.9	77.38
18.85	60.59	77.29
27.07	-57.52	77.19
-58.92	24.19	77.1
59.9	21.99	77
-29.38	-56.77	76.9
-16.7	61.82	76.81
54.16	-34.37	76.71
-63.27	-11.25	76.62
39.14	51.11	76.52
5.67	-64.24	76.43
-47.64	43.63	76.33
64.71	0	76.24
-47.81	-43.78	76.14
5.7	64.69	76.05
39.54	-51.65	75.95
-64.15	11.4	75.86
55.11	34.97	75.76
-17.05	-63.12	75.67
-30.1	58.16	75.57
61.58	-22.61	75.48
-60.79	-24.96	75.38
28.02	59.55	75.29
19.58	-62.95	75.19
-57.05	33.26	75.1
64.64	14.02	75
-38.27	-54.08	74.9
-8.32	65.84	74.81
50.68	-43.01	74.71
-66.53	-2.51	74.62
47.45	46.85	74.52
-3.36	-66.7	74.43
-42.64	51.54	74.33
66.36	-9.23	74.24
-55.26	-38.07	74.14
15.07	65.5	74.05
33.17	-58.57	73.95
-64.12	20.83	73.86
61.45	27.98	73.76
-26.47	-62.23	73.67
-22.54	63.87	73.57
59.85	-31.93	73.48
-65.8	-16.89	73.38
37.18	56.98	73.29
11.08	-67.23	73.19
-53.66	42.16	73.1
68.15	5.15	73
-46.85	-49.9	72.9
0.86	68.54	72.81
45.72	-51.21	72.71
-68.4	6.9	72.62
55.19	41.17	72.52
-12.92	-67.73	72.43
-36.26	58.76	72.33
66.52	-18.87	72.24
-61.9	-31.05	72.14
24.72	64.79	72.05
25.57	-64.57	71.95
-62.55	30.4	71.86
66.75	19.85	71.76
-35.88	-59.81	71.67
-13.95	68.43	71.57
56.58	-41.11	71.48
-69.59	-7.9	71.38
46.05	52.9	71.29
1.76	-70.21	71.19
-48.78	50.66	71.1
70.28	-4.42	71
-54.89	-44.26	70.9
10.61	69.81	70.81
39.38	-58.73	70.71
-68.79	16.74	70.62
62.13	34.15	70.52
-22.78	-67.24	70.43
-28.64	65.06	70.33
65.15	-28.68	70.24
-67.5	-22.87	70.14
34.38	62.54	70.05
16.9	-69.43	69.95
-59.43	39.85	69.86
70.83	10.76	69.76
-45.03	-55.85	69.67
-4.51	71.69	69.57
51.81	-49.89	69.48
-71.99	1.81	69.38
54.39	47.34	69.29
-8.15	-71.74	69.19
-42.49	58.48	69.1
70.92	-14.46	69
-62.15	-37.28	68.9
20.68	69.55	68.81
31.76	-65.34	68.71
-67.63	26.78	68.62
68.05	25.96	68.52
-32.7	-65.18	68.43
-19.93	70.24	68.33
62.21	-38.39	68.24
-71.89	-13.71	68.14
43.81	58.74	68.05
7.36	-72.99	67.95
-54.79	48.92	67.86
73.54	0.92	67.76
-53.67	-50.4	67.67
5.55	73.51	67.57
45.6	-58.03	67.48
-72.91	12.02	67.38
61.96	40.42	67.29
-18.42	-71.74	67.19
-34.9	65.42	67.1
70	-24.71	67
-68.39	-29.09	66.9
30.83	67.72	66.81
23.02	-70.85	66.71
-64.9	36.75	66.62
72.76	16.74	66.52
-42.4	-61.56	66.43
-10.31	74.12	66.33
57.72	-47.75	66.24
-74.91	-3.77	66.14
52.76	53.43	66.05
-2.83	-75.11	65.95
-48.69	57.38	65.86
74.74	-9.44	65.76
-61.57	-43.56	65.67
16.01	73.78	65.57
38.07	-65.3	65.48
-72.25	22.48	65.38
68.54	32.25	65.29
-28.8	-70.15	65.19
-26.16	71.26	65.1
67.49	-34.93	65
-73.44	-19.84	64.9
40.81	64.3	64.81
13.34	-75.06	64.71
-60.6	46.4	64.62
76.1	6.71	64.52
-51.65	-56.4	64.43
0	76.56	64.33
51.76	-56.52	64.24
-76.42	6.74	64.14
60.98	46.69	64.05
-13.46	-75.69	63.95
-41.24	64.98	63.86
74.37	-20.09	63.76
-68.49	-35.44	63.67
26.6	72.46	63.57
29.35	-71.48	63.48
-69.99	32.93	63.38
73.93	23	63.29
-39.03	-66.96	63.19
-16.45	75.82	63.1
63.4	-44.85	63
-77.12	-9.74	62.9
50.35	59.33	62.81
2.94	-77.84	62.71
-54.78	55.48	62.62
77.94	-3.92	62.52
-60.19	-49.8	62.43
10.77	77.45	62.33
44.4	-64.46	62.24
-76.35	17.57	62.14
68.24	38.64	62.05
-24.26	-74.66	61.95
-32.56	71.51	61.86
72.37	-30.78	61.76
-74.23	-26.2	61.67
37.09	69.52	61.57
19.61	-76.39	61.48
-66.12	43.14	61.38
77.97	12.85	61.29
-48.87	-62.19	61.19
-5.96	78.94	61.1
57.76	-54.24	61
-79.31	1	60.9
59.22	52.87	60.81
-7.97	-79.06	60.71
-47.55	63.75	60.62
78.19	-14.92	60.52
-67.8	-41.84	60.43
21.77	76.72	60.33
35.79	-71.35	60.24
-74.65	28.47	60.14
74.35	29.44	60.05
-34.98	-71.98	59.95
-22.83	76.78	59.86
68.75	-41.25	59.76
-78.63	-16.03	59.67
47.21	64.98	59.57
9.07	-79.88	59.48
-60.69	52.83	59.38
80.51	2.02	59.29
-58.06	-55.91	59.19
5.07	80.51	59.1
50.68	-62.85	59
-79.89	12.14	58.9
67.18	45.04	58.81
-19.14	-78.65	58.71
-39.03	71	58.62
76.8	-26.02	58.52
